Country,Year,Arrivals,Occupation
Austria,2015,1229,House wife
Austria,2015,9649,Students
Austria,2015,3493,Retired
Austria,2015,0,Others
Austria,2015,0,Not stated
Belgium,2015,107695,Total
Belgium,2015,35045,Professional
Belgium,2015,19548,Administrative and managerial
Belgium,2015,8026,Commercial personal and clerical
Belgium,2015,24767,Labourers production and service workers
Belgium,2015,408,Agricultural workers
Belgium,2015,697,Government
Belgium,2015,1770,House wife
Belgium,2015,11377,Students
Belgium,2015,6031,Retired
Belgium,2015,26,Others
Belgium,2015,0,Not stated
Denmark,2015,159420,Total
Denmark,2015,60135,Professional
Denmark,2015,39251,Administrative and managerial
Denmark,2015,11847,Commercial personal and clerical
Denmark,2015,15536,Labourers production and service workers
Denmark,2015,1828,Agricultural workers
Denmark,2015,668,Government
Denmark,2015,891,House wife
Denmark,2015,21078,Students
Denmark,2015,8110,Retired
Denmark,2015,76,Others
Denmark,2015,0,Not stated
Finland,2015,135107,Total
Finland,2015,47672,Professional
Finland,2015,39462,Administrative and managerial
Finland,2015,11024,Commercial personal and clerical
Finland,2015,17160,Labourers production and service workers
Finland,2015,2272,Agricultural workers
Finland,2015,138,Government
Finland,2015,463,House wife
Finland,2015,12471,Students
Finland,2015,4445,Retired
Finland,2015,0,Others
Finland,2015,0,Not stated
France,2015,648382,Total
France,2015,257240,Professional
France,2015,137853,Administrative and managerial
France,2015,50364,Commercial personal and clerical
France,2015,68264,Labourers production and service workers
France,2015,1599,Agricultural workers
France,2015,1671,Government
France,2015,3398,House wife
France,2015,98464,Students
France,2015,29202,Retired
France,2015,327,Others
France,2015,0,Not stated
Germany,2015,746135,Total
Germany,2015,273995,Professional
Germany,2015,166680,Administrative and managerial
Germany,2015,66571,Commercial personal and clerical
Germany,2015,90080,Labourers production and service workers
Germany,2015,2387,Agricultural workers
Germany,2015,2478,Government
Germany,2015,12388,House wife
Germany,2015,112659,Students
Germany,2015,18615,Retired
Germany,2015,282,Others
Germany,2015,0,Not stated
Ireland,2015,0,Total
Ireland,2015,0,Professional
Ireland,2015,0,Administrative and managerial
Ireland,2015,0,Commercial personal and clerical
Ireland,2015,0,Labourers production and service workers
Ireland,2015,0,Agricultural workers
Ireland,2015,0,Government
Ireland,2015,0,House wife
Ireland,2015,0,Students
Ireland,2015,0,Retired
Ireland,2015,0,Others
Ireland,2015,0,Not stated
Italy,2015,231429,Total
Italy,2015,72270,Professional
Italy,2015,40495,Administrative and managerial
Italy,2015,18631,Commercial personal and clerical
Italy,2015,57703,Labourers production and service workers
Italy,2015,902,Agricultural workers
Italy,2015,500,Government
Italy,2015,4627,House wife
Italy,2015,27315,Students
Italy,2015,8969,Retired
Italy,2015,17,Others
Italy,2015,0,Not stated
Netherlands,2015,214945,Total
Netherlands,2015,77634,Professional
Netherlands,2015,53356,Administrative and managerial
Netherlands,2015,18836,Commercial personal and clerical
Netherlands,2015,21876,Labourers production and service workers
Netherlands,2015,985,Agricultural workers
Netherlands,2015,1546,Government
Netherlands,2015,5659,House wife
Netherlands,2015,24682,Students
Netherlands,2015,10353,Retired
Netherlands,2015,18,Others
Netherlands,2015,0,Not stated
Norway,2015,138024,Total
Norway,2015,49705,Professional
Norway,2015,32298,Administrative and managerial
Norway,2015,10927,Commercial personal and clerical
Norway,2015,15955,Labourers production and service workers
Norway,2015,2221,Agricultural workers
Norway,2015,421,Government
Norway,2015,1833,House wife
Norway,2015,16447,Students
Norway,2015,8195,Retired
Norway,2015,22,Others
Norway,2015,0,Not stated
Russian,2015,877120,Total
Russian,2015,281563,Professional
Russian,2015,367556,Administrative and managerial
Russian,2015,64585,Commercial personal and clerical
Russian,2015,55406,Labourers production and service workers
Russian,2015,797,Agricultural workers
Russian,2015,1167,Government
Russian,2015,16385,House wife
Russian,2015,86982,Students
Russian,2015,2679,Retired
Russian,2015,0,Others
Russian,2015,0,Not stated
Spain,2015,147380,Total
Spain,2015,68687,Professional
Spain,2015,24147,Administrative and managerial
Spain,2015,15996,Commercial personal and clerical
Spain,2015,16321,Labourers production and service workers
Spain,2015,659,Agricultural workers
Spain,2015,626,Government
Spain,2015,1736,House wife
Spain,2015,15992,Students
Spain,2015,3177,Retired
Spain,2015,39,Others
Spain,2015,0,Not stated
Sweden,2015,317792,Total
Sweden,2015,110823,Professional
Sweden,2015,83010,Administrative and managerial
Sweden,2015,32526,Commercial personal and clerical
Sweden,2015,35828,Labourers production and service workers
Sweden,2015,1265,Agricultural workers
Sweden,2015,1187,Government
Sweden,2015,1641,House wife
Sweden,2015,35836,Students
Sweden,2015,15676,Retired
Sweden,2015,0,Others
Sweden,2015,0,Not stated
Switzerland,2015,219967,Total
Switzerland,2015,78414,Professional
Switzerland,2015,53820,Administrative and managerial
Switzerland,2015,22249,Commercial personal and clerical
Switzerland,2015,24475,Labourers production and service workers
Switzerland,2015,1856,Agricultural workers
Switzerland,2015,246,Government
Switzerland,2015,6118,House wife
Switzerland,2015,21774,Students
Switzerland,2015,11015,Retired
Switzerland,2015,0,Others
Switzerland,2015,0,Not stated
UnitedKingdom,2015,896591,Total
UnitedKingdom,2015,354891,Professional
UnitedKingdom,2015,206254,Administrative and managerial
UnitedKingdom,2015,79882,Commercial personal and clerical
UnitedKingdom,2015,86705,Labourers production and service workers
UnitedKingdom,2015,3391,Agricultural workers
UnitedKingdom,2015,4973,Government
UnitedKingdom,2015,24315,House wife
UnitedKingdom,2015,82677,Students
UnitedKingdom,2015,53319,Retired
UnitedKingdom,2015,184,Others
UnitedKingdom,2015,0,Not stated
EastEurope,2015,346352,Total
EastEurope,2015,129867,Professional
EastEurope,2015,121747,Administrative and managerial
EastEurope,2015,39878,Commercial personal and clerical
EastEurope,2015,16881,Labourers production and service workers
EastEurope,2015,2252,Agricultural workers
EastEurope,2015,771,Government
EastEurope,2015,5784,House wife
EastEurope,2015,25730,Students
EastEurope,2015,3442,Retired
EastEurope,2015,0,Others
EastEurope,2015,0,Not stated
Others in Europe,2015,137024,Total
Others in Europe,2015,60534,Professional
Others in Europe,2015,30075,Administrative and managerial
Others in Europe,2015,18951,Commercial personal and clerical
Others in Europe,2015,9229,Labourers production and service workers
Others in Europe,2015,1044,Agricultural workers
Others in Europe,2015,1055,Government
Others in Europe,2015,2032,House wife
Others in Europe,2015,10177,Students
Others in Europe,2015,3927,Retired
Others in Europe,2015,0,Others
Others in Europe,2015,0,Not stated
Argentina,2015,28050,Total
Argentina,2015,13236,Professional
Argentina,2015,3367,Administrative and managerial
Argentina,2015,2126,Commercial personal and clerical
Argentina,2015,4806,Labourers production and service workers
Argentina,2015,284,Agricultural workers
Argentina,2015,59,Government
Argentina,2015,442,House wife
Argentina,2015,3424,Students
Argentina,2015,245,Retired
Argentina,2015,61,Others
Argentina,2015,0,Not stated
Brazil,2015,44414,Total
Brazil,2015,23955,Professional
Brazil,2015,8051,Administrative and managerial
Brazil,2015,5860,Commercial personal and clerical
Brazil,2015,1424,Labourers production and service workers
Brazil,2015,301,Agricultural workers
Brazil,2015,255,Government
Brazil,2015,218,House wife
Brazil,2015,3627,Students
Brazil,2015,723,Retired
Brazil,2015,0,Others
Brazil,2015,0,Not stated
Canada,2015,210097,Total
Canada,2015,87693,Professional
Canada,2015,38435,Administrative and managerial
Canada,2015,25854,Commercial personal and clerical
Canada,2015,16192,Labourers production and service workers
Canada,2015,299,Agricultural workers
Canada,2015,2060,Government
Canada,2015,3670,House wife
Canada,2015,22590,Students
Canada,2015,13304,Retired
Canada,2015,0,Others
Canada,2015,0,Not stated
USA,2015,827110,Total
USA,2015,336569,Professional
USA,2015,145939,Administrative and managerial
USA,2015,102740,Commercial personal and clerical
USA,2015,60842,Labourers production and service workers
USA,2015,3840,Agricultural workers
USA,2015,8156,Government
USA,2015,24080,House wife
USA,2015,90078,Students
USA,2015,54703,Retired
USA,2015,163,Others
USA,2015,0,Not stated
Others in America,2015,59161,Total
Others in America,2015,26334,Professional
Others in America,2015,11222,Administrative and managerial
Others in America,2015,6280,Commercial personal and clerical
Others in America,2015,4265,Labourers production and service workers
Others in America,2015,656,Agricultural workers
Others in America,2015,297,Government
Others in America,2015,1042,House wife
Others in America,2015,8164,Students
Others in America,2015,901,Retired
Others in America,2015,0,Others
Others in America,2015,0,Not stated
Bangladesh,2015,109033,Total
Bangladesh,2015,16058,Professional
Bangladesh,2015,3459,Administrative and managerial
Bangladesh,2015,44367,Commercial personal and clerical
Bangladesh,2015,8326,Labourers production and service workers
Bangladesh,2015,317,Agricultural workers
Bangladesh,2015,2991,Government
Bangladesh,2015,14793,House wife
Bangladesh,2015,18454,Students
Bangladesh,2015,268,Retired
Bangladesh,2015,0,Others
Bangladesh,2015,0,Not stated
India,2015,1039395,Total
India,2015,197635,Professional
India,2015,80436,Administrative and managerial
India,2015,374999,Commercial personal and clerical
India,2015,140021,Labourers production and service workers
India,2015,7262,Agricultural workers
India,2015,6262,Government
India,2015,100637,House wife
India,2015,125404,Students
India,2015,6575,Retired
India,2015,164,Others
India,2015,0,Not stated
Nepal,2015,33325,Total
Nepal,2015,7382,Professional
Nepal,2015,2293,Administrative and managerial
Nepal,2015,12298,Commercial personal and clerical
Nepal,2015,3688,Labourers production and service workers
Nepal,2015,121,Agricultural workers
Nepal,2015,1178,Government
Nepal,2015,1760,House wife
Nepal,2015,4325,Students
Nepal,2015,280,Retired
Nepal,2015,0,Others
Nepal,2015,0,Not stated
Pakistan,2015,76366,Total
Pakistan,2015,16640,Professional
Pakistan,2015,9901,Administrative and managerial
Pakistan,2015,34643,Commercial personal and clerical
Pakistan,2015,3788,Labourers production and service workers
Pakistan,2015,472,Agricultural workers
Pakistan,2015,1289,Government
Pakistan,2015,4346,House wife
Pakistan,2015,5011,Students
Pakistan,2015,276,Retired
Pakistan,2015,0,Others
Pakistan,2015,0,Not stated
SriLanka,2015,75595,Total
SriLanka,2015,24341,Professional
SriLanka,2015,14378,Administrative and managerial
SriLanka,2015,21488,Commercial personal and clerical
SriLanka,2015,1175,Labourers production and service workers
SriLanka,2015,433,Agricultural workers
SriLanka,2015,194,Government
SriLanka,2015,3714,House wife
SriLanka,2015,9042,Students
SriLanka,2015,830,Retired
SriLanka,2015,0,Others
SriLanka,2015,0,Not stated
Others in Asia,2015,40578,Total
Others in Asia,2015,7322,Professional
Others in Asia,2015,3969,Administrative and managerial
Others in Asia,2015,12035,Commercial personal and clerical
Others in Asia,2015,4135,Labourers production and service workers
Others in Asia,2015,425,Agricultural workers
Others in Asia,2015,4728,Government
Others in Asia,2015,2154,House wife
Others in Asia,2015,5668,Students
Others in Asia,2015,142,Retired
Others in Asia,2015,0,Others
Others in Asia,2015,0,Not stated
Australia,2015,816053,Total
Australia,2015,283250,Professional
Australia,2015,251013,Administrative and managerial
Australia,2015,66568,Commercial personal and clerical
Australia,2015,58643,Labourers production and service workers
Australia,2015,6613,Agricultural workers
Australia,2015,4256,Government
Australia,2015,17933,House wife
Australia,2015,96070,Students
Australia,2015,31595,Retired
Australia,2015,112,Others
Australia,2015,0,Not stated
NewZealand,2015,102271,Total
NewZealand,2015,44460,Professional
NewZealand,2015,29130,Administrative and managerial
NewZealand,2015,7853,Commercial personal and clerical
NewZealand,2015,5584,Labourers production and service workers
NewZealand,2015,2197,Agricultural workers
NewZealand,2015,450,Government
NewZealand,2015,1065,House wife
NewZealand,2015,8892,Students
NewZealand,2015,2640,Retired
NewZealand,2015,0,Others
NewZealand,2015,0,Not stated
Others in Oceania,2015,5562,Total
Others in Oceania,2015,1929,Professional
Others in Oceania,2015,1976,Administrative and managerial
Others in Oceania,2015,491,Commercial personal and clerical
Others in Oceania,2015,395,Labourers production and service workers
Others in Oceania,2015,21,Agricultural workers
Others in Oceania,2015,147,Government
Others in Oceania,2015,156,House wife
Others in Oceania,2015,290,Students
Others in Oceania,2015,157,Retired
Others in Oceania,2015,0,Others
Others in Oceania,2015,0,Not stated
Egypt,2015,22851,Total
Egypt,2015,11076,Professional
Egypt,2015,6800,Administrative and managerial
Egypt,2015,1605,Commercial personal and clerical
Egypt,2015,799,Labourers production and service workers
Egypt,2015,134,Agricultural workers
Egypt,2015,26,Government
Egypt,2015,382,House wife
Egypt,2015,1946,Students
Egypt,2015,83,Retired
Egypt,2015,0,Others
Egypt,2015,0,Not stated
Israel,2015,138499,Total
Israel,2015,55204,Professional
Israel,2015,24871,Administrative and managerial
Israel,2015,16852,Commercial personal and clerical
Israel,2015,10589,Labourers production and service workers
Israel,2015,1893,Agricultural workers
Israel,2015,290,Government
Israel,2015,1797,House wife
Israel,2015,23572,Students
Israel,2015,3431,Retired
Israel,2015,0,Others
Israel,2015,0,Not stated
Kuwait,2015,72830,Total
Kuwait,2015,16771,Professional
Kuwait,2015,8112,Administrative and managerial
Kuwait,2015,4377,Commercial personal and clerical
Kuwait,2015,24343,Labourers production and service workers
Kuwait,2015,303,Agricultural workers
Kuwait,2015,194,Government
Kuwait,2015,2409,House wife
Kuwait,2015,13744,Students
Kuwait,2015,2577,Retired
Kuwait,2015,0,Others
Kuwait,2015,0,Not stated
SaudiArabia,2015,25153,Total
SaudiArabia,2015,9702,Professional
SaudiArabia,2015,6492,Administrative and managerial
SaudiArabia,2015,3653,Commercial personal and clerical
SaudiArabia,2015,1744,Labourers production and service workers
SaudiArabia,2015,156,Agricultural workers
SaudiArabia,2015,422,Government
SaudiArabia,2015,525,House wife
SaudiArabia,2015,2433,Students
SaudiArabia,2015,26,Retired
SaudiArabia,2015,0,Others
SaudiArabia,2015,0,Not stated
UnitedArabEmirates,2015,171516,Total
UnitedArabEmirates,2015,46598,Professional
UnitedArabEmirates,2015,48056,Administrative and managerial
UnitedArabEmirates,2015,15947,Commercial personal and clerical
UnitedArabEmirates,2015,30247,Labourers production and service workers
UnitedArabEmirates,2015,221,Agricultural workers
UnitedArabEmirates,2015,550,Government
UnitedArabEmirates,2015,9771,House wife
UnitedArabEmirates,2015,19062,Students
UnitedArabEmirates,2015,1064,Retired
UnitedArabEmirates,2015,0,Others
UnitedArabEmirates,2015,0,Not stated
Others in Middle East,2015,289942,Total
Others in Middle East,2015,91744,Professional
Others in Middle East,2015,60287,Administrative and managerial
Others in Middle East,2015,50481,Commercial personal and clerical
Others in Middle East,2015,38545,Labourers production and service workers
Others in Middle East,2015,1270,Agricultural workers
Others in Middle East,2015,2627,Government
Others in Middle East,2015,14402,House wife
Others in Middle East,2015,27440,Students
Others in Middle East,2015,3041,Retired
Others in Middle East,2015,105,Others
Others in Middle East,2015,0,Not stated
SouthAfrica,2015,74397,Total
SouthAfrica,2015,29666,Professional
SouthAfrica,2015,22467,Administrative and managerial
SouthAfrica,2015,8388,Commercial personal and clerical
SouthAfrica,2015,4445,Labourers production and service workers
SouthAfrica,2015,867,Agricultural workers
SouthAfrica,2015,106,Government
SouthAfrica,2015,1714,House wife
SouthAfrica,2015,5782,Students
SouthAfrica,2015,962,Retired
SouthAfrica,2015,0,Others
SouthAfrica,2015,0,Not stated
Others in Africa,2015,90277,Total
Others in Africa,2015,26615,Professional
Others in Africa,2015,19100,Administrative and managerial
Others in Africa,2015,22196,Commercial personal and clerical
Others in Africa,2015,7145,Labourers production and service workers
Others in Africa,2015,222,Agricultural workers
Others in Africa,2015,1399,Government
Others in Africa,2015,3385,House wife
Others in Africa,2015,9058,Students
Others in Africa,2015,1157,Retired
Others in Africa,2015,0,Others
Others in Africa,2015,0,Not stated
Brunai,2016,17994,Total
Brunai,2016,4108,Professional
Brunai,2016,2369,Administrative and managerial
Brunai,2016,2643,Commercial personal and clerical
Brunai,2016,2247,Labourers production and service workers
Brunai,2016,24,Agricultural workers
Brunai,2016,797,Government
Brunai,2016,1108,House wife
Brunai,2016,3994,Students
Brunai,2016,665,Retired
Brunai,2016,30,Others
Brunai,2016,9,Not stated
Cambodia,2016,684836,Total
Cambodia,2016,44399,Professional
Cambodia,2016,35179,Administrative and managerial
Cambodia,2016,48644,Commercial personal and clerical
Cambodia,2016,170460,Labourers production and service workers
Cambodia,2016,164562,Agricultural workers
Cambodia,2016,4925,Government
Cambodia,2016,155161,House wife
Cambodia,2016,55995,Students
Cambodia,2016,5042,Retired
Cambodia,2016,211,Others
Cambodia,2016,258,Not stated
Indonesia,2016,558499,Total
Indonesia,2016,93103,Professional
Indonesia,2016,59225,Administrative and managerial
Indonesia,2016,52184,Commercial personal and clerical
Indonesia,2016,153566,Labourers production and service workers
Indonesia,2016,418,Agricultural workers
Indonesia,2016,7637,Government
Indonesia,2016,72007,House wife
Indonesia,2016,112497,Students
Indonesia,2016,5475,Retired
Indonesia,2016,2185,Others
Indonesia,2016,202,Not stated
Laos,2016,1414916,Total
Laos,2016,285143,Professional
Laos,2016,152465,Administrative and managerial
Laos,2016,54451,Commercial personal and clerical
Laos,2016,292387,Labourers production and service workers
Laos,2016,236376,Agricultural workers
Laos,2016,694,Government
Laos,2016,223173,House wife
Laos,2016,134189,Students
Laos,2016,35871,Retired
Laos,2016,101,Others
Laos,2016,66,Not stated
Malaysia,2016,3506199,Total
Malaysia,2016,801661,Professional
Malaysia,2016,760776,Administrative and managerial
Malaysia,2016,331745,Commercial personal and clerical
Malaysia,2016,443795,Labourers production and service workers
Malaysia,2016,1011,Agricultural workers
Malaysia,2016,3774,Government
Malaysia,2016,579716,House wife
Malaysia,2016,555710,Students
Malaysia,2016,25908,Retired
Malaysia,2016,1923,Others
Malaysia,2016,180,Not stated
Myanmar,2016,363871,Total
Myanmar,2016,66201,Professional
Myanmar,2016,26766,Administrative and managerial
Myanmar,2016,95023,Commercial personal and clerical
Myanmar,2016,64827,Labourers production and service workers
Myanmar,2016,3837,Agricultural workers
Myanmar,2016,1334,Government
Myanmar,2016,9983,House wife
Myanmar,2016,83845,Students
Myanmar,2016,9544,Retired
Myanmar,2016,2059,Others
Myanmar,2016,452,Not stated
Philippines,2016,323860,Total
Philippines,2016,96372,Professional
Philippines,2016,54239,Administrative and managerial
Philippines,2016,46483,Commercial personal and clerical
Philippines,2016,60946,Labourers production and service workers
Philippines,2016,1300,Agricultural workers
Philippines,2016,1942,Government
Philippines,2016,17321,House wife
Philippines,2016,34365,Students
Philippines,2016,9850,Retired
Philippines,2016,605,Others
Philippines,2016,437,Not stated
Singapore,2016,1163309,Total
Singapore,2016,380502,Professional
Singapore,2016,248557,Administrative and managerial
Singapore,2016,144057,Commercial personal and clerical
Singapore,2016,117702,Labourers production and service workers
Singapore,2016,210,Agricultural workers
Singapore,2016,15283,Government
Singapore,2016,63453,House wife
Singapore,2016,165318,Students
Singapore,2016,25329,Retired
Singapore,2016,2454,Others
Singapore,2016,444,Not stated
Vietnam,2016,863807,Total
Vietnam,2016,140222,Professional
Vietnam,2016,65839,Administrative and managerial
Vietnam,2016,146105,Commercial personal and clerical
Vietnam,2016,245890,Labourers production and service workers
Vietnam,2016,49022,Agricultural workers
Vietnam,2016,1095,Government
Vietnam,2016,67466,House wife
Vietnam,2016,135067,Students
Vietnam,2016,11290,Retired
Vietnam,2016,1494,Others
Vietnam,2016,317,Not stated
China,2016,8821148,Total
China,2016,1866953,Professional
China,2016,1457139,Administrative and managerial
China,2016,678031,Commercial personal and clerical
China,2016,3563424,Labourers production and service workers
China,2016,7556,Agricultural workers
China,2016,16490,Government
China,2016,58802,House wife
China,2016,982307,Students
China,2016,163626,Retired
China,2016,25793,Others
China,2016,1027,Not stated
HongKong,2016,690465,Total
HongKong,2016,173747,Professional
HongKong,2016,119820,Administrative and managerial
HongKong,2016,152274,Commercial personal and clerical
HongKong,2016,83774,Labourers production and service workers
HongKong,2016,228,Agricultural workers
HongKong,2016,4816,Government
HongKong,2016,39756,House wife
HongKong,2016,94088,Students
HongKong,2016,20382,Retired
HongKong,2016,1323,Others
HongKong,2016,257,Not stated
Japan,2016,1416903,Total
Japan,2016,206446,Professional
Japan,2016,117849,Administrative and managerial
Japan,2016,221692,Commercial personal and clerical
Japan,2016,608384,Labourers production and service workers
Japan,2016,3405,Agricultural workers
Japan,2016,5057,Government
Japan,2016,53241,House wife
Japan,2016,166731,Students
Japan,2016,29722,Retired
Japan,2016,1167,Others
Japan,2016,3209,Not stated
Korea,2016,1449617,Total
Korea,2016,267386,Professional
Korea,2016,175853,Administrative and managerial
Korea,2016,282219,Commercial personal and clerical
Korea,2016,316367,Labourers production and service workers
Korea,2016,3397,Agricultural workers
Korea,2016,2731,Government
Korea,2016,115540,House wife
Korea,2016,269919,Students
Korea,2016,13215,Retired
Korea,2016,1494,Others
Korea,2016,1496,Not stated
Taiwan,2016,513528,Total
Taiwan,2016,92119,Professional
Taiwan,2016,38873,Administrative and managerial
Taiwan,2016,166246,Commercial personal and clerical
Taiwan,2016,88825,Labourers production and service workers
Taiwan,2016,474,Agricultural workers
Taiwan,2016,1356,Government
Taiwan,2016,17979,House wife
Taiwan,2016,86344,Students
Taiwan,2016,16831,Retired
Taiwan,2016,1830,Others
Taiwan,2016,2651,Not stated
Others in East,2016,72401,Total
Others in East,2016,15008,Professional
Others in East,2016,14112,Administrative and managerial
Others in East,2016,12062,Commercial personal and clerical
Others in East,2016,9697,Labourers production and service workers
Others in East,2016,39,Agricultural workers
Others in East,2016,1064,Government
Others in East,2016,1593,House wife
Others in East,2016,16909,Students
Others in East,2016,1689,Retired
Others in East,2016,160,Others
Others in East,2016,68,Not stated
Austria,2016,97989,Total
Austria,2016,26907,Professional
Austria,2016,14917,Administrative and managerial
Austria,2016,9812,Commercial personal and clerical
Austria,2016,20816,Labourers production and service workers
Austria,2016,340,Agricultural workers
Austria,2016,273,Government
Austria,2016,776,House wife
Austria,2016,15048,Students
Austria,2016,8818,Retired
Austria,2016,222,Others
Austria,2016,60,Not stated
Belgium,2016,112140,Total
