Country,Income,Arrivals,Year
Others in Asia,"20,001 - 60,000 US$",3205,2020
Others in Asia,"More than 60,000 US$",692,2020
Others in Asia,No income,1209,2020
Australia,"Less than 20,000 US$",22379,2020
Australia,"20,001 - 60,000 US$",65278,2020
Australia,"More than 60,000 US$",25165,2020
Australia,No income,10921,2020
NewZealand,"Less than 20,000 US$",2316,2020
NewZealand,"20,001 - 60,000 US$",7729,2020
NewZealand,"More than 60,000 US$",2531,2020
NewZealand,No income,1197,2020
Others in Oceania,"Less than 20,000 US$",438,2020
Others in Oceania,"20,001 - 60,000 US$",640,2020
Others in Oceania,"More than 60,000 US$",211,2020
Others in Oceania,No income,169,2020
Egypt,"Less than 20,000 US$",843,2020
Egypt,"20,001 - 60,000 US$",1735,2020
Egypt,"More than 60,000 US$",288,2020
Egypt,No income,218,2020
Israel,"Less than 20,000 US$",9973,2020
Israel,"20,001 - 60,000 US$",14212,2020
Israel,"More than 60,000 US$",3299,2020
Israel,No income,2084,2020
Kuwait,"Less than 20,000 US$",2886,2020
Kuwait,"20,001 - 60,000 US$",5484,2020
Kuwait,"More than 60,000 US$",1455,2020
Kuwait,No income,1324,2020
SaudiArabia,"Less than 20,000 US$",1893,2020
SaudiArabia,"20,001 - 60,000 US$",3133,2020
SaudiArabia,"More than 60,000 US$",755,2020
SaudiArabia,No income,591,2020
UnitedArabEmirates,"Less than 20,000 US$",2054,2020
UnitedArabEmirates,"20,001 - 60,000 US$",5211,2020
UnitedArabEmirates,"More than 60,000 US$",1474,2020
UnitedArabEmirates,No income,811,2020
Others in Middle East,"Less than 20,000 US$",7543,2020
Others in Middle East,"20,001 - 60,000 US$",13320,2020
Others in Middle East,"More than 60,000 US$",2676,2020
Others in Middle East,No income,1968,2020
SouthAfrica,"Less than 20,000 US$",2615,2020
SouthAfrica,"20,001 - 60,000 US$",4931,2020
SouthAfrica,"More than 60,000 US$",1251,2020
SouthAfrica,No income,895,2020
Others in Africa,"Less than 20,000 US$",4707,2020
Others in Africa,"20,001 - 60,000 US$",7864,2020
Others in Africa,"More than 60,000 US$",1465,2020
Others in Africa,No income,1335,2020
