Country of Residence,Year,No of Arrivals per Occupation,Occupation,,,,,
        Laos,"2,015","47,669",Agricultural workers,,,,,
        Laos,"2,015","4,998",Government,,,,,
        Laos,"2,015","79,782",House wife,,,,,
        Laos,"2,015","154,253",Students,,,,,
        Laos,"2,015","48,384",Retired,,,,,
        Laos,"2,015", - ,Others,,,,,
        Laos,"2,015", - ,Not stated,,,,,
        Malaysia,"2,015","3,407,553",Total,,,,,
        Malaysia,"2,015","851,994",Professional,,,,,
        Malaysia,"2,015","756,955",Administrative and managerial,,,,,
        Malaysia,"2,015","382,929",Commercial personal and clerical,,,,,
        Malaysia,"2,015","382,379",Labourers production and service workers,,,,,
        Malaysia,"2,015","1,692",Agricultural workers,,,,,
        Malaysia,"2,015","2,803",Government,,,,,
        Malaysia,"2,015","657,480",House wife,,,,,
        Malaysia,"2,015","357,845",Students,,,,,
        Malaysia,"2,015","13,436",Retired,,,,,
        Malaysia,"2,015",40,Others,,,,,
        Malaysia,"2,015", - ,Not stated,,,,,
        Myanmar,"2,015","263,422",Total,,,,,
        Myanmar,"2,015","79,675",Professional,,,,,
        Myanmar,"2,015","36,864",Administrative and managerial,,,,,
        Myanmar,"2,015","69,908",Commercial personal and clerical,,,,,
        Myanmar,"2,015","11,603",Labourers production and service workers,,,,,
        Myanmar,"2,015","1,961",Agricultural workers,,,,,
        Myanmar,"2,015",948,Government,,,,,
        Myanmar,"2,015","12,781",House wife,,,,,
        Myanmar,"2,015","46,586",Students,,,,,
        Myanmar,"2,015","3,096",Retired,,,,,
        Myanmar,"2,015", - ,Others,,,,,
        Myanmar,"2,015", - ,Not stated,,,,,
        Philippines,"2,015","301,297",Total,,,,,
        Philippines,"2,015","96,396",Professional,,,,,
        Philippines,"2,015","56,671",Administrative and managerial,,,,,
        Philippines,"2,015","50,815",Commercial personal and clerical,,,,,
        Philippines,"2,015","44,485",Labourers production and service workers,,,,,
        Philippines,"2,015","2,291",Agricultural workers,,,,,
        Philippines,"2,015","2,221",Government,,,,,
        Philippines,"2,015","18,738",House wife,,,,,
        Philippines,"2,015","27,078",Students,,,,,
        Philippines,"2,015","2,602",Retired,,,,,
        Philippines,"2,015", - ,Others,,,,,
        Philippines,"2,015", - ,Not stated,,,,,
        Singapore,"2,015","1,074,755",Total,,,,,
        Singapore,"2,015","339,833",Professional,,,,,
        Singapore,"2,015","297,394",Administrative and managerial,,,,,
        Singapore,"2,015","133,145",Commercial personal and clerical,,,,,
        Singapore,"2,015","76,359",Labourers production and service workers,,,,,
        Singapore,"2,015","1,177",Agricultural workers,,,,,
        Singapore,"2,015","7,412",Government,,,,,
        Singapore,"2,015","89,089",House wife,,,,,
        Singapore,"2,015","116,079",Students,,,,,
        Singapore,"2,015","14,030",Retired,,,,,
        Singapore,"2,015",237,Others,,,,,
        Singapore,"2,015", - ,Not stated,,,,,
        Vietnam,"2,015","767,643",Total,,,,,
        Vietnam,"2,015","201,837",Professional,,,,,
        Vietnam,"2,015","151,697",Administrative and managerial,,,,,
        Vietnam,"2,015","199,866",Commercial personal and clerical,,,,,
        Vietnam,"2,015","65,509",Labourers production and service workers,,,,,
        Vietnam,"2,015","7,211",Agricultural workers,,,,,
        Vietnam,"2,015","1,693",Government,,,,,
        Vietnam,"2,015","25,332",House wife,,,,,
        Vietnam,"2,015","107,697",Students,,,,,
        Vietnam,"2,015","6,559",Retired,,,,,
        Vietnam,"2,015",242,Others,,,,,
        Vietnam,"2,015", - ,Not stated,,,,,
    China,"2,015","7,981,407",Total,,,,,
    China,"2,015","2,083,957",Professional,,,,,
    China,"2,015","2,183,213",Administrative and managerial,,,,,
    China,"2,015","1,048,841",Commercial personal and clerical,,,,,
    China,"2,015","1,651,484",Labourers production and service workers,,,,,
    China,"2,015","17,348",Agricultural workers,,,,,
    China,"2,015","9,422",Government,,,,,
    China,"2,015","86,758",House wife,,,,,
    China,"2,015","781,974",Students,,,,,
    China,"2,015","118,355",Retired,,,,,
    China,"2,015",55,Others,,,,,
    China,"2,015", - ,Not stated,,,,,
    Hong Kong,"2,015","708,435",Total,,,,,
    Hong Kong,"2,015","190,359",Professional,,,,,
    Hong Kong,"2,015","160,539",Administrative and managerial,,,,,
    Hong Kong,"2,015","138,627",Commercial personal and clerical,,,,,
    Hong Kong,"2,015","56,949",Labourers production and service workers,,,,,
    Hong Kong,"2,015",749,Agricultural workers,,,,,
    Hong Kong,"2,015","4,914",Government,,,,,
    Hong Kong,"2,015","65,307",House wife,,,,,
    Hong Kong,"2,015","75,834",Students,,,,,
    Hong Kong,"2,015","15,109",Retired,,,,,
    Hong Kong,"2,015",48,Others,,,,,
    Hong Kong,"2,015", - ,Not stated,,,,,
    Japan,"2,015","1,349,388",Total,,,,,
    Japan,"2,015","307,099",Professional,,,,,
    Japan,"2,015","230,865",Administrative and managerial,,,,,
    Japan,"2,015","243,431",Commercial personal and clerical,,,,,
    Japan,"2,015","306,063",Labourers production and service workers,,,,,
    Japan,"2,015","11,902",Agricultural workers,,,,,
    Japan,"2,015","5,885",Government,,,,,
    Japan,"2,015","113,014",House wife,,,,,
    Japan,"2,015","119,556",Students,,,,,
    Japan,"2,015","11,219",Retired,,,,,
    Japan,"2,015",354,Others,,,,,
    Japan,"2,015", - ,Not stated,,,,,
    Korea,"2,015","1,359,211",Total,,,,,
    Korea,"2,015","307,313",Professional,,,,,
    Korea,"2,015","170,483",Administrative and managerial,,,,,
    Korea,"2,015","323,819",Commercial personal and clerical,,,,,
    Korea,"2,015","187,978",Labourers production and service workers,,,,,
    Korea,"2,015","3,445",Agricultural workers,,,,,
    Korea,"2,015","2,431",Government,,,,,
    Korea,"2,015","135,403",House wife,,,,,
    Korea,"2,015","224,514",Students,,,,,
    Korea,"2,015","3,640",Retired,,,,,
    Korea,"2,015",185,Others,,,,,
    Korea,"2,015", - ,Not stated,,,,,
    Taiwan,"2,015","545,560",Total,,,,,
    Taiwan,"2,015","160,189",Professional,,,,,
    Taiwan,"2,015","83,365",Administrative and managerial,,,,,
    Taiwan,"2,015","154,786",Commercial personal and clerical,,,,,
    Taiwan,"2,015","49,066",Labourers production and service workers,,,,,
    Taiwan,"2,015",775,Agricultural workers,,,,,
    Taiwan,"2,015","1,212",Government,,,,,
    Taiwan,"2,015","29,777",House wife,,,,,
    Taiwan,"2,015","62,375",Students,,,,,
    Taiwan,"2,015","3,880",Retired,,,,,
    Taiwan,"2,015",135,Others,,,,,
    Taiwan,"2,015", - ,Not stated,,,,,
    Others in East,"2,015","71,666",Total,,,,,
    Others in East,"2,015","17,437",Professional,,,,,
    Others in East,"2,015","15,818",Administrative and managerial,,,,,
    Others in East,"2,015","20,144",Commercial personal and clerical,,,,,
    Others in East,"2,015","4,893",Labourers production and service workers,,,,,
    Others in East,"2,015",294,Agricultural workers,,,,,
    Others in East,"2,015","1,211",Government,,,,,
    Others in East,"2,015","4,255",House wife,,,,,
    Others in East,"2,015","6,784",Students,,,,,
    Others in East,"2,015",830,Retired,,,,,
    Others in East,"2,015", - ,Others,,,,,
    Others in East,"2,015", - ,Not stated,,,,,
    Austria,"2,015","94,878",Total,,,,,
    Austria,"2,015","33,139",Professional,,,,,
    Austria,"2,015","22,531",Administrative and managerial,,,,,
    Austria,"2,015","7,776",Commercial personal and clerical,,,,,
    Austria,"2,015","15,868",Labourers production and service workers,,,,,
    Austria,"2,015",954,Agricultural workers,,,,,
    Austria,"2,015",239,Government,,,,,
    Austria,"2,015","1,229",House wife,,,,,
    Austria,"2,015","9,649",Students,,,,,
    Austria,"2,015","3,493",Retired,,,,,
    Austria,"2,015", - ,Others,,,,,
    Austria,"2,015", - ,Not stated,,,,,
    Belgium,"2,015","107,695",Total,,,,,
    Belgium,"2,015","35,045",Professional,,,,,
    Belgium,"2,015","19,548",Administrative and managerial,,,,,
    Belgium,"2,015","8,026",Commercial personal and clerical,,,,,
    Belgium,"2,015","24,767",Labourers production and service workers,,,,,
    Belgium,"2,015",408,Agricultural workers,,,,,
    Belgium,"2,015",697,Government,,,,,
    Belgium,"2,015","1,770",House wife,,,,,
    Belgium,"2,015","11,377",Students,,,,,
    Belgium,"2,015","6,031",Retired,,,,,
    Belgium,"2,015",26,Others,,,,,
    Belgium,"2,015", - ,Not stated,,,,,
    Denmark,"2,015","159,420",Total,,,,,
    Denmark,"2,015","60,135",Professional,,,,,
    Denmark,"2,015","39,251",Administrative and managerial,,,,,
    Denmark,"2,015","11,847",Commercial personal and clerical,,,,,
    Denmark,"2,015","15,536",Labourers production and service workers,,,,,
    Denmark,"2,015","1,828",Agricultural workers,,,,,
    Denmark,"2,015",668,Government,,,,,
    Denmark,"2,015",891,House wife,,,,,
    Denmark,"2,015","21,078",Students,,,,,
    Denmark,"2,015","8,110",Retired,,,,,
    Denmark,"2,015",76,Others,,,,,
    Denmark,"2,015", - ,Not stated,,,,,
    Finland,"2,015","135,107",Total,,,,,
    Finland,"2,015","47,672",Professional,,,,,
    Finland,"2,015","39,462",Administrative and managerial,,,,,
    Finland,"2,015","11,024",Commercial personal and clerical,,,,,
    Finland,"2,015","17,160",Labourers production and service workers,,,,,
    Finland,"2,015","2,272",Agricultural workers,,,,,
    Finland,"2,015",138,Government,,,,,
    Finland,"2,015",463,House wife,,,,,
    Finland,"2,015","12,471",Students,,,,,
    Finland,"2,015","4,445",Retired,,,,,
    Finland,"2,015", - ,Others,,,,,
    Finland,"2,015", - ,Not stated,,,,,
    France,"2,015","648,382",Total,,,,,
    France,"2,015","257,240",Professional,,,,,
    France,"2,015","137,853",Administrative and managerial,,,,,
    France,"2,015","50,364",Commercial personal and clerical,,,,,
    France,"2,015","68,264",Labourers production and service workers,,,,,
    France,"2,015","1,599",Agricultural workers,,,,,
    France,"2,015","1,671",Government,,,,,
    France,"2,015","3,398",House wife,,,,,
    France,"2,015","98,464",Students,,,,,
    France,"2,015","29,202",Retired,,,,,
    France,"2,015",327,Others,,,,,
    France,"2,015", - ,Not stated,,,,,
    Germany,"2,015","746,135",Total,,,,,
    Germany,"2,015","273,995",Professional,,,,,
    Germany,"2,015","166,680",Administrative and managerial,,,,,
    Germany,"2,015","66,571",Commercial personal and clerical,,,,,
    Germany,"2,015","90,080",Labourers production and service workers,,,,,
    Germany,"2,015","2,387",Agricultural workers,,,,,
    Germany,"2,015","2,478",Government,,,,,
    Germany,"2,015","12,388",House wife,,,,,
    Germany,"2,015","112,659",Students,,,,,
    Germany,"2,015","18,615",Retired,,,,,
    Germany,"2,015",282,Others,,,,,
    Germany,"2,015", - ,Not stated,,,,,
    Ireland,"2,015", - ,Total,,,,,
    Ireland,"2,015", - ,Professional,,,,,
    Ireland,"2,015", - ,Administrative and managerial,,,,,
    Ireland,"2,015", - ,Commercial personal and clerical,,,,,
    Ireland,"2,015", - ,Labourers production and service workers,,,,,
    Ireland,"2,015", - ,Agricultural workers,,,,,
    Ireland,"2,015", - ,Government,,,,,
    Ireland,"2,015", - ,House wife,,,,,
    Ireland,"2,015", - ,Students,,,,,
    Ireland,"2,015", - ,Retired,,,,,
    Ireland,"2,015", - ,Others,,,,,
    Ireland,"2,015", - ,Not stated,,,,,
    Italy,"2,015","231,429",Total,,,,,
    Italy,"2,015","72,270",Professional,,,,,
    Italy,"2,015","40,495",Administrative and managerial,,,,,
    Italy,"2,015","18,631",Commercial personal and clerical,,,,,
    Italy,"2,015","57,703",Labourers production and service workers,,,,,
    Italy,"2,015",902,Agricultural workers,,,,,
    Italy,"2,015",500,Government,,,,,
    Italy,"2,015","4,627",House wife,,,,,
    Italy,"2,015","27,315",Students,,,,,
    Italy,"2,015","8,969",Retired,,,,,
    Italy,"2,015",17,Others,,,,,
    Italy,"2,015", - ,Not stated,,,,,
    Netherlands,"2,015","214,945",Total,,,,,
    Netherlands,"2,015","77,634",Professional,,,,,
    Netherlands,"2,015","53,356",Administrative and managerial,,,,,
    Netherlands,"2,015","18,836",Commercial personal and clerical,,,,,
    Netherlands,"2,015","21,876",Labourers production and service workers,,,,,
    Netherlands,"2,015",985,Agricultural workers,,,,,
    Netherlands,"2,015","1,546",Government,,,,,
    Netherlands,"2,015","5,659",House wife,,,,,
    Netherlands,"2,015","24,682",Students,,,,,
    Netherlands,"2,015","10,353",Retired,,,,,
    Netherlands,"2,015",18,Others,,,,,
    Netherlands,"2,015", - ,Not stated,,,,,
    Norway,"2,015","138,024",Total,,,,,
    Norway,"2,015","49,705",Professional,,,,,
    Norway,"2,015","32,298",Administrative and managerial,,,,,
    Norway,"2,015","10,927",Commercial personal and clerical,,,,,
    Norway,"2,015","15,955",Labourers production and service workers,,,,,
    Norway,"2,015","2,221",Agricultural workers,,,,,
    Norway,"2,015",421,Government,,,,,
    Norway,"2,015","1,833",House wife,,,,,
    Norway,"2,015","16,447",Students,,,,,
    Norway,"2,015","8,195",Retired,,,,,
    Norway,"2,015",22,Others,,,,,
    Norway,"2,015", - ,Not stated,,,,,
    Russian,"2,015","877,120",Total,,,,,
    Russian,"2,015","281,563",Professional,,,,,
    Russian,"2,015","367,556",Administrative and managerial,,,,,
    Russian,"2,015","64,585",Commercial personal and clerical,,,,,
    Russian,"2,015","55,406",Labourers production and service workers,,,,,
    Russian,"2,015",797,Agricultural workers,,,,,
    Russian,"2,015","1,167",Government,,,,,
    Russian,"2,015","16,385",House wife,,,,,
    Russian,"2,015","86,982",Students,,,,,
    Russian,"2,015","2,679",Retired,,,,,
    Russian,"2,015", - ,Others,,,,,
    Russian,"2,015", - ,Not stated,,,,,
    Spain,"2,015","147,380",Total,,,,,
    Spain,"2,015","68,687",Professional,,,,,
    Spain,"2,015","24,147",Administrative and managerial,,,,,
    Spain,"2,015","15,996",Commercial personal and clerical,,,,,
    Spain,"2,015","16,321",Labourers production and service workers,,,,,
    Spain,"2,015",659,Agricultural workers,,,,,
    Spain,"2,015",626,Government,,,,,
    Spain,"2,015","1,736",House wife,,,,,
    Spain,"2,015","15,992",Students,,,,,
    Spain,"2,015","3,177",Retired,,,,,
    Spain,"2,015",39,Others,,,,,
    Spain,"2,015", - ,Not stated,,,,,
    Sweden,"2,015","317,792",Total,,,,,
    Sweden,"2,015","110,823",Professional,,,,,
    Sweden,"2,015","83,010",Administrative and managerial,,,,,
    Sweden,"2,015","32,526",Commercial personal and clerical,,,,,
    Sweden,"2,015","35,828",Labourers production and service workers,,,,,
    Sweden,"2,015","1,265",Agricultural workers,,,,,
    Sweden,"2,015","1,187",Government,,,,,
    Sweden,"2,015","1,641",House wife,,,,,
    Sweden,"2,015","35,836",Students,,,,,
    Sweden,"2,015","15,676",Retired,,,,,
    Sweden,"2,015", - ,Others,,,,,
    Sweden,"2,015", - ,Not stated,,,,,
    Switzerland,"2,015","219,967",Total,,,,,
    Switzerland,"2,015","78,414",Professional,,,,,
    Switzerland,"2,015","53,820",Administrative and managerial,,,,,
    Switzerland,"2,015","22,249",Commercial personal and clerical,,,,,
    Switzerland,"2,015","24,475",Labourers production and service workers,,,,,
    Switzerland,"2,015","1,856",Agricultural workers,,,,,
    Switzerland,"2,015",246,Government,,,,,
    Switzerland,"2,015","6,118",House wife,,,,,
    Switzerland,"2,015","21,774",Students,,,,,
    Switzerland,"2,015","11,015",Retired,,,,,
    Switzerland,"2,015", - ,Others,,,,,
    Switzerland,"2,015", - ,Not stated,,,,,
    United Kingdom,"2,015","896,591",Total,,,,,
    United Kingdom,"2,015","354,891",Professional,,,,,
    United Kingdom,"2,015","206,254",Administrative and managerial,,,,,
    United Kingdom,"2,015","79,882",Commercial personal and clerical,,,,,
    United Kingdom,"2,015","86,705",Labourers production and service workers,,,,,
    United Kingdom,"2,015","3,391",Agricultural workers,,,,,
    United Kingdom,"2,015","4,973",Government,,,,,
    United Kingdom,"2,015","24,315",House wife,,,,,
    United Kingdom,"2,015","82,677",Students,,,,,
    United Kingdom,"2,015","53,319",Retired,,,,,
    United Kingdom,"2,015",184,Others,,,,,
    United Kingdom,"2,015", - ,Not stated,,,,,
    East Europe,"2,015","346,352",Total,,,,,
    East Europe,"2,015","129,867",Professional,,,,,
    East Europe,"2,015","121,747",Administrative and managerial,,,,,
    East Europe,"2,015","39,878",Commercial personal and clerical,,,,,
    East Europe,"2,015","16,881",Labourers production and service workers,,,,,
    East Europe,"2,015","2,252",Agricultural workers,,,,,
    East Europe,"2,015",771,Government,,,,,
    East Europe,"2,015","5,784",House wife,,,,,
    East Europe,"2,015","25,730",Students,,,,,
    East Europe,"2,015","3,442",Retired,,,,,
    East Europe,"2,015", - ,Others,,,,,
    East Europe,"2,015", - ,Not stated,,,,,
    Others in Europe,"2,015","137,024",Total,,,,,
    Others in Europe,"2,015","60,534",Professional,,,,,
    Others in Europe,"2,015","30,075",Administrative and managerial,,,,,
    Others in Europe,"2,015","18,951",Commercial personal and clerical,,,,,
    Others in Europe,"2,015","9,229",Labourers production and service workers,,,,,
    Others in Europe,"2,015","1,044",Agricultural workers,,,,,
    Others in Europe,"2,015","1,055",Government,,,,,
    Others in Europe,"2,015","2,032",House wife,,,,,
    Others in Europe,"2,015","10,177",Students,,,,,
    Others in Europe,"2,015","3,927",Retired,,,,,
    Others in Europe,"2,015", - ,Others,,,,,
    Others in Europe,"2,015", - ,Not stated,,,,,
    Argentina,"2,015","28,050",Total,,,,,
    Argentina,"2,015","13,236",Professional,,,,,
    Argentina,"2,015","3,367",Administrative and managerial,,,,,
    Argentina,"2,015","2,126",Commercial personal and clerical,,,,,
    Argentina,"2,015","4,806",Labourers production and service workers,,,,,
    Argentina,"2,015",284,Agricultural workers,,,,,
    Argentina,"2,015",59,Government,,,,,
    Argentina,"2,015",442,House wife,,,,,
    Argentina,"2,015","3,424",Students,,,,,
    Argentina,"2,015",245,Retired,,,,,
    Argentina,"2,015",61,Others,,,,,
    Argentina,"2,015", - ,Not stated,,,,,
    Brazil,"2,015","44,414",Total,,,,,
    Brazil,"2,015","23,955",Professional,,,,,
    Brazil,"2,015","8,051",Administrative and managerial,,,,,
    Brazil,"2,015","5,860",Commercial personal and clerical,,,,,
    Brazil,"2,015","1,424",Labourers production and service workers,,,,,
    Brazil,"2,015",301,Agricultural workers,,,,,
    Brazil,"2,015",255,Government,,,,,
    Brazil,"2,015",218,House wife,,,,,
    Brazil,"2,015","3,627",Students,,,,,
    Brazil,"2,015",723,Retired,,,,,
    Brazil,"2,015", - ,Others,,,,,
    Brazil,"2,015", - ,Not stated,,,,,
    Canada,"2,015","210,097",Total,,,,,
    Canada,"2,015","87,693",Professional,,,,,
    Canada,"2,015","38,435",Administrative and managerial,,,,,
    Canada,"2,015","25,854",Commercial personal and clerical,,,,,
    Canada,"2,015","16,192",Labourers production and service workers,,,,,
    Canada,"2,015",299,Agricultural workers,,,,,
    Canada,"2,015","2,060",Government,,,,,
    Canada,"2,015","3,670",House wife,,,,,
    Canada,"2,015","22,590",Students,,,,,
    Canada,"2,015","13,304",Retired,,,,,
    Canada,"2,015", - ,Others,,,,,
    Canada,"2,015", - ,Not stated,,,,,
USA,"2,015","827,110",Total,,,,,
USA,"2,015","336,569",Professional,,,,,
USA,"2,015","145,939",Administrative and managerial,,,,,
USA,"2,015","102,740",Commercial personal and clerical,,,,,
USA,"2,015","60,842",Labourers production and service workers,,,,,
USA,"2,015","3,840",Agricultural workers,,,,,
USA,"2,015","8,156",Government,,,,,
USA,"2,015","24,080",House wife,,,,,
USA,"2,015","90,078",Students,,,,,
USA,"2,015","54,703",Retired,,,,,
USA,"2,015",163,Others,,,,,
USA,"2,015", - ,Not stated,,,,,
    Others in America,"2,015","59,161",Total,,,,,
    Others in America,"2,015","26,334",Professional,,,,,
    Others in America,"2,015","11,222",Administrative and managerial,,,,,
    Others in America,"2,015","6,280",Commercial personal and clerical,,,,,
    Others in America,"2,015","4,265",Labourers production and service workers,,,,,
    Others in America,"2,015",656,Agricultural workers,,,,,
    Others in America,"2,015",297,Government,,,,,
    Others in America,"2,015","1,042",House wife,,,,,
    Others in America,"2,015","8,164",Students,,,,,
    Others in America,"2,015",901,Retired,,,,,
    Others in America,"2,015", - ,Others,,,,,
    Others in America,"2,015", - ,Not stated,,,,,
    Bangladesh,"2,015","109,033",Total,,,,,
    Bangladesh,"2,015","16,058",Professional,,,,,
    Bangladesh,"2,015","3,459",Administrative and managerial,,,,,
    Bangladesh,"2,015","44,367",Commercial personal and clerical,,,,,
    Bangladesh,"2,015","8,326",Labourers production and service workers,,,,,
    Bangladesh,"2,015",317,Agricultural workers,,,,,
    Bangladesh,"2,015","2,991",Government,,,,,
    Bangladesh,"2,015","14,793",House wife,,,,,
    Bangladesh,"2,015","18,454",Students,,,,,
    Bangladesh,"2,015",268,Retired,,,,,
    Bangladesh,"2,015", - ,Others,,,,,
    Bangladesh,"2,015", - ,Not stated,,,,,
    India,"2,015","1,039,395",Total,,,,,
    India,"2,015","197,635",Professional,,,,,
    India,"2,015","80,436",Administrative and managerial,,,,,
    India,"2,015","374,999",Commercial personal and clerical,,,,,
    India,"2,015","140,021",Labourers production and service workers,,,,,
    India,"2,015","7,262",Agricultural workers,,,,,
    India,"2,015","6,262",Government,,,,,
    India,"2,015","100,637",House wife,,,,,
    India,"2,015","125,404",Students,,,,,
    India,"2,015","6,575",Retired,,,,,
    India,"2,015",164,Others,,,,,
    India,"2,015", - ,Not stated,,,,,
    Nepal,"2,015","33,325",Total,,,,,
    Nepal,"2,015","7,382",Professional,,,,,
    Nepal,"2,015","2,293",Administrative and managerial,,,,,
    Nepal,"2,015","12,298",Commercial personal and clerical,,,,,
    Nepal,"2,015","3,688",Labourers production and service workers,,,,,
    Nepal,"2,015",121,Agricultural workers,,,,,
    Nepal,"2,015","1,178",Government,,,,,
    Nepal,"2,015","1,760",House wife,,,,,
    Nepal,"2,015","4,325",Students,,,,,
    Nepal,"2,015",280,Retired,,,,,
    Nepal,"2,015", - ,Others,,,,,
    Nepal,"2,015", - ,Not stated,,,,,
    Pakistan,"2,015","76,366",Total,,,,,
    Pakistan,"2,015","16,640",Professional,,,,,
    Pakistan,"2,015","9,901",Administrative and managerial,,,,,
    Pakistan,"2,015","34,643",Commercial personal and clerical,,,,,
    Pakistan,"2,015","3,788",Labourers production and service workers,,,,,
    Pakistan,"2,015",472,Agricultural workers,,,,,
    Pakistan,"2,015","1,289",Government,,,,,
    Pakistan,"2,015","4,346",House wife,,,,,
    Pakistan,"2,015","5,011",Students,,,,,
    Pakistan,"2,015",276,Retired,,,,,
    Pakistan,"2,015", - ,Others,,,,,
    Pakistan,"2,015", - ,Not stated,,,,,
    Sri Lanka,"2,015","75,595",Total,,,,,
    Sri Lanka,"2,015","24,341",Professional,,,,,
    Sri Lanka,"2,015","14,378",Administrative and managerial,,,,,
    Sri Lanka,"2,015","21,488",Commercial personal and clerical,,,,,
    Sri Lanka,"2,015","1,175",Labourers production and service workers,,,,,
    Sri Lanka,"2,015",433,Agricultural workers,,,,,
    Sri Lanka,"2,015",194,Government,,,,,
    Sri Lanka,"2,015","3,714",House wife,,,,,
    Sri Lanka,"2,015","9,042",Students,,,,,
    Sri Lanka,"2,015",830,Retired,,,,,
    Sri Lanka,"2,015", - ,Others,,,,,
    Sri Lanka,"2,015", - ,Not stated,,,,,
    Others in Asia,"2,015","40,578",Total,,,,,
    Others in Asia,"2,015","7,322",Professional,,,,,
    Others in Asia,"2,015","3,969",Administrative and managerial,,,,,
    Others in Asia,"2,015","12,035",Commercial personal and clerical,,,,,
    Others in Asia,"2,015","4,135",Labourers production and service workers,,,,,
    Others in Asia,"2,015",425,Agricultural workers,,,,,
    Others in Asia,"2,015","4,728",Government,,,,,
    Others in Asia,"2,015","2,154",House wife,,,,,
    Others in Asia,"2,015","5,668",Students,,,,,
    Others in Asia,"2,015",142,Retired,,,,,
    Others in Asia,"2,015", - ,Others,,,,,
    Others in Asia,"2,015", - ,Not stated,,,,,
    Australia,"2,015","816,053",Total,,,,,
    Australia,"2,015","283,250",Professional,,,,,
    Australia,"2,015","251,013",Administrative and managerial,,,,,
    Australia,"2,015","66,568",Commercial personal and clerical,,,,,
    Australia,"2,015","58,643",Labourers production and service workers,,,,,
    Australia,"2,015","6,613",Agricultural workers,,,,,
    Australia,"2,015","4,256",Government,,,,,
    Australia,"2,015","17,933",House wife,,,,,
    Australia,"2,015","96,070",Students,,,,,
    Australia,"2,015","31,595",Retired,,,,,
    Australia,"2,015",112,Others,,,,,
    Australia,"2,015", - ,Not stated,,,,,
    New Zealand,"2,015","102,271",Total,,,,,
    New Zealand,"2,015","44,460",Professional,,,,,
    New Zealand,"2,015","29,130",Administrative and managerial,,,,,
    New Zealand,"2,015","7,853",Commercial personal and clerical,,,,,
    New Zealand,"2,015","5,584",Labourers production and service workers,,,,,
    New Zealand,"2,015","2,197",Agricultural workers,,,,,
    New Zealand,"2,015",450,Government,,,,,
    New Zealand,"2,015","1,065",House wife,,,,,
    New Zealand,"2,015","8,892",Students,,,,,
    New Zealand,"2,015","2,640",Retired,,,,,
    New Zealand,"2,015", - ,Others,,,,,
    New Zealand,"2,015", - ,Not stated,,,,,
Others in Oceania,"2,015","5,562",Total,,,,,
Others in Oceania,"2,015","1,929",Professional,,,,,
Others in Oceania,"2,015","1,976",Administrative and managerial,,,,,
Others in Oceania,"2,015",491,Commercial personal and clerical,,,,,
Others in Oceania,"2,015",395,Labourers production and service workers,,,,,
Others in Oceania,"2,015",21,Agricultural workers,,,,,
Others in Oceania,"2,015",147,Government,,,,,
Others in Oceania,"2,015",156,House wife,,,,,
Others in Oceania,"2,015",290,Students,,,,,
